iter	F1	Logloss
0	0.4709578757	0.1213165317
1	0.5093107877	0.02894080078
2	0.6669946135	0.0101601659
3	0.7880697705	0.006324196507
4	0.870212541	0.004020746945
5	0.8828650324	0.003345953303
6	0.8926452152	0.002969531045
7	0.8964857161	0.002784885003
8	0.9003007363	0.002643833187
9	0.9059836151	0.002481518143
10	0.9087709127	0.002390147122
11	0.9113620383	0.002332508071
12	0.9146089685	0.002272415397
13	0.9165361471	0.00221673191
14	0.9179956786	0.002195501136
15	0.9197395181	0.002168672017
16	0.9208063059	0.002150492114
17	0.9221392218	0.002128222372
18	0.9232976674	0.002111093941
19	0.9238616113	0.002088196743
20	0.9244750092	0.002074124803
21	0.9257516875	0.002056448157
22	0.9268292683	0.002028194549
23	0.9287568739	0.001981209029
24	0.9301052201	0.001945110826
25	0.9312098009	0.001926156088
26	0.9319021284	0.001912334371
27	0.9326181833	0.001892073862
28	0.9334257692	0.001869344136
29	0.9339146023	0.00185742305
30	0.9353177108	0.001826744762
31	0.9358089538	0.001816114271
32	0.9361139369	0.001795097051
33	0.9369710286	0.001779057183
34	0.9375267002	0.00176680846
35	0.9378381677	0.001756137788
36	0.9381977915	0.001749636054
37	0.9385613471	0.001742877493
38	0.939344029	0.001725769996
39	0.9395067	0.001717431979
40	0.9397962711	0.00170736839
41	0.9402699845	0.001687389576
42	0.9409492835	0.001669912434
43	0.9410855865	0.001662746715
44	0.9413031991	0.001657345768
45	0.9421974716	0.001631011616
46	0.9423096462	0.001624122394
47	0.9426081303	0.00161780752
48	0.9428612053	0.001614985658
49	0.9432912215	0.001604513647
50	0.9433701657	0.001592211113
51	0.9435058078	0.00158776301
52	0.9439967523	0.001578297091
53	0.9443621232	0.001571485001
54	0.9448435407	0.001551480055
55	0.9451940832	0.001542849806
56	0.9456367398	0.001534773393
57	0.9459870596	0.001527636055
58	0.9462243491	0.001516358861
59	0.9470974542	0.001495434649
60	0.9475475597	0.001484772126
61	0.9477159931	0.001480688328
62	0.9480358988	0.00146316117
63	0.9484790798	0.001455716005
64	0.9491436207	0.001440730279
65	0.9497398943	0.001426059264
66	0.9499311908	0.001413932069
67	0.9500607042	0.001408423923
68	0.9507201813	0.00139767373
69	0.9508070715	0.001390755425
70	0.9510749752	0.001383031235
71	0.9513023783	0.001376689245
72	0.9516471516	0.00137015604
73	0.9518898259	0.001352129418
74	0.9519399907	0.001346895099
75	0.9524348582	0.001338197834
76	0.9523751769	0.001334536507
77	0.9524964625	0.001324485282
78	0.9528217982	0.001314429421
79	0.9530912104	0.001304573344
80	0.9532721614	0.001293798986
81	0.9537895779	0.001281763676
82	0.9542103456	0.001275637066
83	0.9542581336	0.001271711889
84	0.9546308074	0.001255873633
85	0.9550244257	0.001247531682
86	0.9554775168	0.001241862387
87	0.9553124495	0.001240134145
88	0.955593234	0.00123049654
89	0.9558900682	0.001224046228
90	0.9562111551	0.001210946379
91	0.9566059432	0.001198850375
92	0.9571529388	0.001185330163
93	0.9577419355	0.001173723928
94	0.9577016129	0.00116787276
95	0.9579100145	0.001159148309
96	0.9580604204	0.001152668703
97	0.9585088161	0.001143497685
98	0.9585364871	0.001138364172
99	0.9588058739	0.001132126781
100	0.9589300461	0.001125549109
101	0.9592395682	0.001118707445
102	0.9594700707	0.001112588211
103	0.9596939803	0.001105234158
104	0.9597986915	0.001103214598
105	0.9600692348	0.001098490279
106	0.9600080507	0.001092005405
107	0.960028982	0.001089743068
108	0.9602157245	0.001085009406
109	0.9603653629	0.001080443426
110	0.9605858801	0.001073272088
111	0.9612730601	0.001062086357
112	0.9614997787	0.001056186087
113	0.9618277624	0.001050373556
114	0.9621006494	0.001042525097
115	0.9621378159	0.001036294029
116	0.9622467031	0.001028105289
117	0.9626369209	0.001014773833
118	0.9633408995	0.001002066952
119	0.9632977762	0.0009984378698
120	0.9635030632	0.0009954797262
121	0.9636042261	0.0009935635713
122	0.9638510664	0.0009871565316
123	0.9640576684	0.0009836734247
124	0.9642226148	0.0009750321472
125	0.9643667316	0.0009735733068
126	0.9644886078	0.000969653749
127	0.9646161565	0.0009644814586
128	0.9648225072	0.0009564085576
129	0.9648654614	0.0009514986434
130	0.9650273882	0.0009388122047
131	0.9651906988	0.0009334170875
132	0.9652529792	0.0009322113507
133	0.9655227742	0.0009243202516
134	0.965688732	0.0009169587523
135	0.9658878973	0.0009125687436
136	0.9659915781	0.0009081259084
137	0.9660952381	0.0009040718257
138	0.9661366963	0.0009016442653
139	0.9663452865	0.000896958653
140	0.9665925169	0.0008926313758
141	0.9668409769	0.0008820427533
142	0.9670025845	0.0008787762209
143	0.9671254282	0.0008746318695
144	0.9672909364	0.0008683590738
145	0.9673349222	0.0008670498617
146	0.9675377991	0.000858765444
147	0.967747102	0.0008503434807
148	0.9678943155	0.0008398827798
149	0.9684223165	0.0008341200548
